view,count,mesh,shade,mode,render_us,setup_us,raster_us,hash,pass_index,pose
0,1,0,0,0,237,109,127,5266aad24e1f9ceb,0,0
1,1,0,0,0,251,112,139,38fbcd4dacf0f1e0,0,1
2,1,0,0,1,238,110,128,5266aad24e1f9ceb,0,0
3,1,0,0,1,250,112,138,38fbcd4dacf0f1e0,0,1
4,4,0,0,0,786,235,550,e85c17d68b1e2e62,0,0
5,4,0,0,0,787,243,543,73ea9e09a9bbae25,0,1
6,4,0,0,1,677,234,442,e85c17d68b1e2e62,0,0
7,4,0,0,1,783,239,544,73ea9e09a9bbae25,0,1
8,15,0,0,0,3021,671,2349,084b5cfbfa26445f,0,0
9,15,0,0,0,2619,674,1944,53c3152a3fe16cc9,0,1
10,15,0,0,1,2417,657,1760,084b5cfbfa26445f,0,0
11,15,0,0,1,2466,673,1793,53c3152a3fe16cc9,0,1
12,1,0,1,0,559,116,443,c365a936b019a21b,0,0
13,1,0,1,0,579,121,458,04521b2328fa87f9,0,1
14,1,0,1,1,466,118,347,c365a936b019a21b,0,0
15,1,0,1,1,504,125,378,04521b2328fa87f9,0,1
16,4,0,1,0,1502,256,1246,741c2c3c9a85628e,0,0
17,4,0,1,0,1878,261,1617,e687e9ae1e0219a8,0,1
18,4,0,1,1,1498,251,1247,741c2c3c9a85628e,0,0
19,4,0,1,1,1816,253,1562,e687e9ae1e0219a8,0,1
20,15,0,1,0,6824,760,6064,f8813c13454b59be,0,0
21,15,0,1,0,5382,776,4605,9b0a420db92206c7,0,1
22,15,0,1,1,4928,713,4214,f8813c13454b59be,0,0
23,15,0,1,1,5022,726,4296,9b0a420db92206c7,0,1
24,1,0,2,0,741,114,626,c365a936b019a21b,0,0
25,1,0,2,0,770,120,649,a3e3990b2fbcff2a,0,1
26,1,0,2,1,527,120,407,c365a936b019a21b,0,0
27,1,0,2,1,667,119,548,a3e3990b2fbcff2a,0,1
28,4,0,2,0,2006,256,1750,d9406fbacaed5bc1,0,0
29,4,0,2,0,2617,256,2361,61cf5998efba832e,0,1
30,4,0,2,1,1991,241,1749,d9406fbacaed5bc1,0,0
31,4,0,2,1,2631,250,2380,61cf5998efba832e,0,1
32,15,0,2,0,10022,741,9280,ddd8f9493343d400,0,0
33,15,0,2,0,7879,756,7123,af2f7c6d06fc088b,0,1
34,15,0,2,1,6831,696,6135,ddd8f9493343d400,0,0
35,15,0,2,1,7312,710,6601,af2f7c6d06fc088b,0,1
36,1,1,0,0,1454,564,889,7c814bf2dd8f208a,0,0
37,1,1,0,0,1334,566,768,712ed3f2754be444,0,1
38,1,1,0,1,1281,553,728,7c814bf2dd8f208a,0,0
39,1,1,0,1,1293,549,744,712ed3f2754be444,0,1
40,4,1,0,0,4787,2661,2125,512e6b76d7a91e0d,0,0
41,4,1,0,0,4831,2626,2204,c4209ecec281b57b,0,1
42,4,1,0,1,4391,2203,2188,512e6b76d7a91e0d,0,0
43,4,1,0,1,4465,2165,2300,c4209ecec281b57b,0,1
44,15,1,0,0,23105,11131,11973,a5cfa219806a1af8,0,0
45,15,1,0,0,20566,11138,9427,6ee48296ba1331d2,0,1
46,15,1,0,1,18477,10057,8420,a5cfa219806a1af8,0,0
47,15,1,0,1,18436,10042,8393,6ee48296ba1331d2,0,1
48,1,1,1,0,1973,750,1223,6142c51e3b8955a9,0,0
49,1,1,1,0,1786,749,1036,5b76f7281c2ccf41,0,1
50,1,1,1,1,1800,713,1087,6142c51e3b8955a9,0,0
51,1,1,1,1,1763,728,1035,5b76f7281c2ccf41,0,1
52,4,1,1,0,6205,3482,2723,82b6fd7de7bbdda2,0,0
53,4,1,1,0,6373,3452,2921,c182d518e70b3ee0,0,1
54,4,1,1,1,5488,2669,2818,82b6fd7de7bbdda2,0,0
55,4,1,1,1,5541,2621,2919,c182d518e70b3ee0,0,1
56,15,1,1,0,27967,13558,14408,59505c422b245d08,0,0
57,15,1,1,0,24532,13559,10973,28e842e33a6398a7,0,1
58,15,1,1,1,21797,11163,10633,59505c422b245d08,0,0
59,15,1,1,1,21855,11083,10771,28e842e33a6398a7,0,1
60,1,1,2,0,2245,715,1529,3abe1f4cf85487a7,0,0
61,1,1,2,0,1998,735,1263,3067390b1faeef14,0,1
62,1,1,2,1,2003,706,1296,3abe1f4cf85487a7,0,0
63,1,1,2,1,1970,723,1247,3067390b1faeef14,0,1
64,4,1,2,0,6792,3384,3408,8d400aea4fa767d8,0,0
65,4,1,2,0,7125,3346,3778,93cc6a2410a42b7a,0,1
66,4,1,2,1,6142,2666,3475,8d400aea4fa767d8,0,0
67,4,1,2,1,6405,2597,3808,93cc6a2410a42b7a,0,1
68,15,1,2,0,31635,13218,18417,e2cc0e35a1bcd05d,0,0
69,15,1,2,0,27552,13220,14331,9b849bffb02cb7fd,0,1
70,15,1,2,1,24196,11100,13096,e2cc0e35a1bcd05d,0,0
71,15,1,2,1,24444,11055,13389,9b849bffb02cb7fd,0,1
72,1,0,0,1,237,109,128,5266aad24e1f9ceb,1,0
73,1,0,0,1,253,114,138,38fbcd4dacf0f1e0,1,1
74,1,0,0,0,237,109,128,5266aad24e1f9ceb,1,0
75,1,0,0,0,248,110,137,38fbcd4dacf0f1e0,1,1
76,4,0,0,1,787,235,551,e85c17d68b1e2e62,1,0
77,4,0,0,1,787,242,544,73ea9e09a9bbae25,1,1
78,4,0,0,0,681,238,442,e85c17d68b1e2e62,1,0
79,4,0,0,0,782,238,544,73ea9e09a9bbae25,1,1
80,15,0,0,1,3023,672,2350,084b5cfbfa26445f,1,0
81,15,0,0,1,2625,691,1934,53c3152a3fe16cc9,1,1
82,15,0,0,0,2450,687,1763,084b5cfbfa26445f,1,0
83,15,0,0,0,2497,707,1790,53c3152a3fe16cc9,1,1
84,1,0,1,1,554,113,441,c365a936b019a21b,1,0
85,1,0,1,1,578,120,457,04521b2328fa87f9,1,1
86,1,0,1,0,472,123,349,c365a936b019a21b,1,0
87,1,0,1,0,498,121,377,04521b2328fa87f9,1,1
88,4,0,1,1,1503,255,1247,741c2c3c9a85628e,1,0
89,4,0,1,1,1843,258,1584,e687e9ae1e0219a8,1,1
90,4,0,1,0,1492,246,1245,741c2c3c9a85628e,1,0
91,4,0,1,0,1853,260,1592,e687e9ae1e0219a8,1,1
92,15,0,1,1,6804,722,6081,f8813c13454b59be,1,0
93,15,0,1,1,5358,745,4612,9b0a420db92206c7,1,1
94,15,0,1,0,4998,816,4182,f8813c13454b59be,1,0
95,15,0,1,0,5113,834,4279,9b0a420db92206c7,1,1
96,1,0,2,1,746,117,628,c365a936b019a21b,1,0
97,1,0,2,1,767,119,648,a3e3990b2fbcff2a,1,1
98,1,0,2,0,537,125,411,c365a936b019a21b,1,0
99,1,0,2,0,673,122,550,a3e3990b2fbcff2a,1,1
100,4,0,2,1,1992,241,1751,d9406fbacaed5bc1,1,0
101,4,0,2,1,2616,253,2363,61cf5998efba832e,1,1
102,4,0,2,0,1988,238,1749,d9406fbacaed5bc1,1,0
103,4,0,2,0,2613,250,2363,61cf5998efba832e,1,1
104,15,0,2,1,9809,710,9098,ddd8f9493343d400,1,0
105,15,0,2,1,7648,729,6918,af2f7c6d06fc088b,1,1
106,15,0,2,0,6944,806,6138,ddd8f9493343d400,1,0
107,15,0,2,0,7367,816,6550,af2f7c6d06fc088b,1,1
108,1,1,0,1,1482,591,891,7c814bf2dd8f208a,1,0
109,1,1,0,1,1346,588,757,712ed3f2754be444,1,1
110,1,1,0,0,1375,613,762,7c814bf2dd8f208a,1,0
111,1,1,0,0,1346,624,722,712ed3f2754be444,1,1
112,4,1,0,1,4481,2255,2226,512e6b76d7a91e0d,1,0
113,4,1,0,1,4545,2225,2320,c4209ecec281b57b,1,1
114,4,1,0,0,4779,2651,2127,512e6b76d7a91e0d,1,0
115,4,1,0,0,4835,2608,2226,c4209ecec281b57b,1,1
116,15,1,0,1,22108,10048,12060,a5cfa219806a1af8,1,0
117,15,1,0,1,19524,10043,9481,6ee48296ba1331d2,1,1
118,15,1,0,0,19495,11156,8339,a5cfa219806a1af8,1,0
119,15,1,0,0,19545,11146,8399,6ee48296ba1331d2,1,1
120,1,1,1,1,1962,737,1224,6142c51e3b8955a9,1,0
121,1,1,1,1,1801,752,1048,5b76f7281c2ccf41,1,1
122,1,1,1,0,1798,765,1033,6142c51e3b8955a9,1,0
123,1,1,1,0,1756,777,978,5b76f7281c2ccf41,1,1
124,4,1,1,1,5488,2685,2802,82b6fd7de7bbdda2,1,0
125,4,1,1,1,5556,2644,2911,c182d518e70b3ee0,1,1
126,4,1,1,0,6215,3487,2728,82b6fd7de7bbdda2,1,0
127,4,1,1,0,6383,3437,2945,c182d518e70b3ee0,1,1
128,15,1,1,1,26019,11139,14879,59505c422b245d08,1,0
129,15,1,1,1,22587,11085,11502,28e842e33a6398a7,1,1
130,15,1,1,0,23905,13550,10354,59505c422b245d08,1,0
131,15,1,1,0,23984,13553,10430,28e842e33a6398a7,1,1
132,1,1,2,1,2266,733,1533,3abe1f4cf85487a7,1,0
133,1,1,2,1,2016,754,1261,3067390b1faeef14,1,1
134,1,1,2,0,1997,748,1249,3abe1f4cf85487a7,1,0
135,1,1,2,0,1954,761,1192,3067390b1faeef14,1,1
136,4,1,2,1,6151,2690,3461,8d400aea4fa767d8,1,0
137,4,1,2,1,6404,2642,3762,93cc6a2410a42b7a,1,1
138,4,1,2,0,6796,3392,3404,8d400aea4fa767d8,1,0
139,4,1,2,0,7119,3340,3778,93cc6a2410a42b7a,1,1
140,15,1,2,1,29398,11081,18317,e2cc0e35a1bcd05d,1,0
141,15,1,2,1,25271,11052,14219,9b849bffb02cb7fd,1,1
142,15,1,2,0,26215,13204,13011,e2cc0e35a1bcd05d,1,0
143,15,1,2,0,26229,13216,13013,9b849bffb02cb7fd,1,1
