capability,mode,count,pass_index,pose,render_us,setup_us,raster_us,hash
1,copies,1,0,0,2160,647,1513,3abe1f4cf85487a7
1,copies,1,0,1,1889,651,1237,3067390b1faeef14
1,copies,1,0,2,1940,646,1293,7938dae148c12131
1,shared,1,0,0,1954,615,1339,3abe1f4cf85487a7
1,shared,1,0,1,1841,614,1227,3067390b1faeef14
1,shared,1,0,2,1931,611,1319,7938dae148c12131
1,copies,2,0,0,3625,1663,1961,b6bc499cd3a5bc88
1,copies,2,0,1,3618,1628,1990,13b2fdb1202bb1e6
1,copies,2,0,2,3573,1630,1943,148fd9d4c75fd130
1,shared,2,0,0,3362,1310,2052,b6bc499cd3a5bc88
1,shared,2,0,1,3311,1277,2034,13b2fdb1202bb1e6
1,shared,2,0,2,3395,1277,2117,148fd9d4c75fd130
1,copies,4,0,0,6764,3361,3403,8d400aea4fa767d8
1,copies,4,0,1,6919,3327,3591,93cc6a2410a42b7a
1,copies,4,0,2,6816,3335,3480,b623f1a1ed86951a
1,shared,4,0,0,6141,2600,3541,8d400aea4fa767d8
1,shared,4,0,1,6359,2555,3804,93cc6a2410a42b7a
1,shared,4,0,2,6200,2562,3637,b623f1a1ed86951a
1,copies,8,0,0,14342,6946,7395,45c5e467373996f4
1,copies,8,0,1,13951,6829,7122,0fcaa1c0189db802
1,copies,8,0,2,13883,6831,7052,128ff003cbacf83c
1,shared,8,0,0,12480,5570,6909,45c5e467373996f4
1,shared,8,0,1,12552,5479,7073,0fcaa1c0189db802
1,shared,8,0,2,12509,5477,7032,128ff003cbacf83c
1,copies,12,0,0,22041,10503,11538,0aa8c7cc9f32f9d5
1,copies,12,0,1,21218,10420,10797,7c459ea0eafd5aba
1,copies,12,0,2,21430,10451,10979,102528514baf359e
1,shared,12,0,0,19677,8734,10942,0aa8c7cc9f32f9d5
1,shared,12,0,1,19744,8624,11119,7c459ea0eafd5aba
1,shared,12,0,2,19728,8651,11077,102528514baf359e
1,copies,15,0,0,26205,13149,13056,e2cc0e35a1bcd05d
1,copies,15,0,1,26172,13119,13053,9b849bffb02cb7fd
1,copies,15,0,2,26451,13136,13314,1942e87ef28d48bb
1,shared,15,0,0,24154,11063,13090,e2cc0e35a1bcd05d
1,shared,15,0,1,24446,11065,13380,9b849bffb02cb7fd
1,shared,15,0,2,24233,11065,13168,1942e87ef28d48bb
1,copies,1,1,0,2242,711,1530,3abe1f4cf85487a7
1,copies,1,1,1,1920,707,1212,3067390b1faeef14
1,copies,1,1,2,1979,703,1276,7938dae148c12131
1,shared,1,1,0,1997,705,1292,3abe1f4cf85487a7
1,shared,1,1,1,1918,703,1215,3067390b1faeef14
1,shared,1,1,2,1959,699,1260,7938dae148c12131
1,copies,2,1,0,3598,1646,1951,b6bc499cd3a5bc88
1,copies,2,1,1,3597,1609,1988,13b2fdb1202bb1e6
1,copies,2,1,2,3565,1606,1959,148fd9d4c75fd130
1,shared,2,1,0,3322,1290,2031,b6bc499cd3a5bc88
1,shared,2,1,1,3295,1261,2034,13b2fdb1202bb1e6
1,shared,2,1,2,3380,1257,2123,148fd9d4c75fd130
1,copies,4,1,0,6758,3358,3400,8d400aea4fa767d8
1,copies,4,1,1,7047,3318,3728,93cc6a2410a42b7a
1,copies,4,1,2,6855,3319,3535,b623f1a1ed86951a
1,shared,4,1,0,6126,2629,3497,8d400aea4fa767d8
1,shared,4,1,1,6392,2573,3818,93cc6a2410a42b7a
1,shared,4,1,2,6236,2583,3653,b623f1a1ed86951a
1,copies,8,1,0,14243,6879,7363,45c5e467373996f4
1,copies,8,1,1,13899,6767,7132,0fcaa1c0189db802
1,copies,8,1,2,13818,6771,7047,128ff003cbacf83c
1,shared,8,1,0,12467,5570,6897,45c5e467373996f4
1,shared,8,1,1,12546,5479,7066,0fcaa1c0189db802
